site,zone,transect,name,family,genus,species,length.mm,weight.g
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,87.608,25.48417084
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,191.732,267.1302174
BCW,5,2,Pomacentridae_Chromis_multilineata,Pomacentridae,Chromis,multilineata,46.143,3.723545719
BCW,5,2,Pomacentridae_Microspathodon_chrysurus,Pomacentridae,Microspathodon,chrysurus,89.685,20.63860613
BCW,5,2,Pomacentridae_Stegastes_adustus,Pomacentridae,Stegastes,adustus,74.817,10.10837781
BCW,5,2,Pomacentridae_Stegastes_adustus,Pomacentridae,Stegastes,adustus,82.583,13.44330187
BCW,5,2,Scaridae_Scarus_iserti,Scaridae,Scarus,iserti,117.542,29.13072266
BCW,5,2,Scaridae_Scarus_iserti,Scaridae,Scarus,iserti,137.9360306,47.46611227
BCW,5,2,Scaridae_Sparisoma_rubripinne,Scaridae,Sparisoma,rubripinne,209.7962857,179.1410499
BCW,5,2,Scaridae_Sparisoma_rubripinne,Scaridae,Sparisoma,rubripinne,209.7962857,179.1410499
BCW,5,2,Scaridae_Sparisoma_rubripinne,Scaridae,Sparisoma,rubripinne,283.477,441.9317602
BCW,5,2,Scaridae_Sparisoma_viride,Scaridae,Sparisoma,viride,314.302,591.140913
BCW,5,3,Acanthuridae_Acanthurus_coeruleus,Acanthuridae,Acanthurus,coeruleus,126.528,61.7816879
BCW,5,3,Labridae_Bodianus_rufus,Labridae,Bodianus,rufus,218.02975,175.7320995
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,35.428,0.3715765
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,37.477,0.449220541
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,42.239,0.672646424
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,46.418,0.924847284
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,47.103,0.971722506
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,48.875,1.100705645
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,49.337,1.136217136
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,50.696,1.245344655
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,52.316,1.384824971
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,53.7,1.512399614
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,59.494,2.137225215
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,61.162,2.346275514
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,61.955,2.450535865
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,63.762,2.70022442
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,69.406,3.595160407
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,69.683,3.643815909
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,71.423,3.960106729
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,76.304,4.949946424
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,76.415,4.974290877
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,78.28,5.396036156
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,79.038,5.574419505
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,79.288,5.634151641
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,81.14,6.090759903
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,81.619,6.212964586
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,82.317,6.394116168
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,82.713,6.4985255
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
BCW,5,3,Labridae_Clepticus_parrae,Labridae,Clepticus,parrae,83.73544127,6.773642568
